Name:,Test Input,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,3,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,
12.66777,6,1.977949,,0,0,22.19952,,84.925,29.38654,219.8478,,75,30,200,,
12.67878,6,1.988958,,0,0,21.76183,,84.76144,29.46211,219.4423,,75,30,200,,
12.68987,6,2.000051,,0,0,21.33675,,84.5975,29.53309,219.0506,,75,30,200,,
12.70095,6,2.011132,,0,0,20.90969,,84.42449,29.58699,218.6608,,75,30,200,,
12.71219,6,2.022375,,0,0,20.46839,,84.23435,29.6311,218.2632,,75,30,200,,
12.72326,6,2.033442,,0,0,20.03623,,84.06141,29.68784,217.8674,,75,30,200,,
12.73442,6,2.044602,,0,0,19.58602,,83.8697,29.72814,217.4604,,75,30,200,,
12.74551,6,2.055692,,0,0,19.12536,,83.65926,29.75797,217.051,,75,30,200,,
12.75653,6,2.066706,,0,0,18.63213,,83.44269,29.77305,216.608,,75,30,200,,
12.76773,6,2.077916,,0,0,18.10775,,83.21943,29.77044,216.1332,,75,30,200,,
12.77881,6,2.088992,,0,0,17.60736,,83.01994,29.76634,215.6731,,75,30,200,,
12.78991,6,2.100087,,0,0,17.1184,,82.82236,29.73803,215.2244,,75,30,200,,
12.80107,6,2.111249,,0,0,16.66051,,82.63646,29.70624,214.8044,,75,30,200,,
12.81221,6,2.122395,,0,0,16.19721,,82.45962,29.65524,214.3731,,75,30,200,,
12.82326,6,2.133442,,0,0,15.7376,,82.29482,29.60832,213.9393,,75,30,200,,
12.83435,6,2.144532,,0,0,15.27122,,82.13269,29.54984,213.4956,,75,30,200,,
12.84549,6,2.155668,,0,0,14.81824,,81.96494,29.47774,213.0689,,75,30,200,,
12.85657,6,2.166749,,0,0,14.38544,,81.79234,29.40457,212.6669,,75,30,200,,
12.86782,6,2.177996,,0,0,13.97782,,81.61395,29.3077,212.2945,,75,30,200,,
12.87885,6,2.189032,,0,0,13.58027,,81.44248,29.21165,211.9288,,75,30,200,,
12.88993,6,2.200106,,0,0,13.1679,,81.27941,29.11894,211.5406,,75,30,200,,
12.90106,6,2.211237,,0,0,12.75509,,81.12293,29.01883,211.1463,,75,30,200,,
12.91217,6,2.222348,,0,0,12.3472,,80.97797,28.91775,210.7492,,75,30,200,,
12.92325,6,2.233433,,0,0,11.96456,,80.85876,28.82972,210.3661,,75,30,200,,
12.93434,6,2.244519,,0,0,11.59552,,80.76144,28.73896,209.9836,,75,30,200,,
12.94553,6,2.255709,,0,0,11.19309,,80.65381,28.66125,209.567,,75,30,200,,
12.95663,6,2.266811,,0,0,10.77797,,80.53609,28.56388,209.1353,,75,30,200,,
12.96778,6,2.277961,,0,0,10.33205,,80.38623,28.48253,208.6855,,75,30,200,,
12.97874,6,2.288925,,0,0,9.866821,,80.20724,28.39663,208.2261,,75,30,200,,
12.98994,6,2.300122,,0,0,9.425995,,80.01251,28.313,207.8024,,75,30,200,,
13.00094,6,2.311119,,0,0,8.983579,,79.79997,28.22301,207.3829,,75,30,200,,
13.01216,6,2.322343,,0,0,8.539021,,79.58135,28.12875,206.9588,,75,30,200,,
13.02366,6,2.333838,,0,0,8.122173,,79.38718,28.05911,206.554,,75,30,200,,
13.03432,6,2.344499,,0,0,7.740023,,79.22103,28.01244,206.1758,,75,30,200,,
13.04548,6,2.355663,,0,0,7.375945,,79.06879,27.98256,205.812,,75,30,200,,
13.05663,6,2.366815,,0,0,7.0255,,78.91817,27.96655,205.4654,,75,30,200,,
13.06765,6,2.377831,,1,0.01101652,6.691361,,78.7604,27.96232,205.146,,75,30,200,,
13.07885,6,2.389036,,1,0.02222126,6.361437,,78.55484,27.9314,204.853,,75,30,200,,
13.08997,6,2.400153,,1,0.03333799,6.03773,,78.32323,27.90476,204.5848,,75,30,200,,
13.10114,6,2.41132,,1,0.04450494,5.732154,,78.03885,27.85271,204.3603,,75,30,200,,
13.11221,6,2.422395,,1,0.05558047,5.474623,,77.77586,27.81066,204.1801,,75,30,200,,
13.12329,6,2.433475,,1,0.06666014,5.265006,,77.54147,27.77793,204.0403,,75,30,200,,
13.13436,6,2.444542,,1,0.07772762,5.085323,,77.34648,27.76808,203.9209,,75,30,200,,
13.14554,6,2.455719,,1,0.08890481,4.911458,,77.18444,27.78098,203.7982,,75,30,200,,
13.15652,6,2.466697,,1,0.09988183,4.717883,,77.04897,27.79786,203.6347,,75,30,200,,
13.16768,6,2.477861,,1,0.1110466,4.522671,,76.9561,27.83046,203.4527,,75,30,200,,
13.17891,6,2.489087,,1,0.122272,4.321998,,76.8724,27.87057,203.2618,,75,30,200,,
13.18988,6,2.500056,,1,0.1332418,4.133509,,76.78302,27.91111,203.0892,,75,30,200,,
13.20097,6,2.511155,,1,0.1443402,3.956268,,76.69006,27.95465,202.9347,,75,30,200,,
13.2121,6,2.52228,,1,0.155465,3.766829,,76.5906,27.9818,202.7542,,75,30,200,,
13.22328,6,2.533459,,1,0.1666444,3.565685,,76.48775,28.00551,202.554,,75,30,200,,
13.23434,6,2.544519,,1,0.1777048,3.369812,,76.38708,28.02909,202.3552,,75,30,200,,
13.24555,6,2.55573,,1,0.1889156,3.18539,,76.27286,28.02468,202.1505,,75,30,200,,
13.2566,6,2.566779,,1,0.1999646,3.018169,,76.15005,28.01715,201.9634,,75,30,200,,
13.2677,6,2.577876,,1,0.2110608,2.865021,,76.01932,28.0105,201.792,,75,30,200,,
13.27888,6,2.589056,,1,0.2222414,2.722739,,75.91489,28.024,201.6345,,75,30,200,,
13.28986,6,2.600045,,1,0.2332299,2.591602,,75.83427,28.05353,201.4939,,75,30,200,,
13.30102,6,2.611199,,1,0.2443844,2.49555,,75.7954,28.0669,201.3632,,75,30,200,,
13.31216,6,2.622337,,1,0.2555221,2.420264,,75.79313,28.08667,201.2521,,75,30,200,,
13.32327,6,2.633452,,1,0.2666369,2.36014,,75.83323,28.10103,201.1269,,75,30,200,,
13.33438,6,2.644564,,1,0.2777492,2.327945,,75.89191,28.1097,201.025,,75,30,200,,
13.34555,6,2.655734,,1,0.2889189,2.302239,,75.97515,28.16202,200.9855,,75,30,200,,
13.35662,7,0.0110626,,0,0,109.3929,,76.084,28.19141,200.9317,,-25,70,200,,
13.3677,7,0.0221508,,0,0,109.5276,,76.25611,28.25398,200.8741,,-25,70,200,,
13.37888,7,0.03332702,,0,0,109.7256,,76.50522,28.33755,200.797,,-25,70,200,,
13.38987,7,0.04432014,,0,0,109.9397,,76.77749,28.4364,200.7342,,-25,70,200,,
13.40103,7,0.05547563,,0,0,110.1792,,77.07981,28.54295,200.6912,,-25,70,200,,
13.41229,7,0.06673937,,0,0,110.3752,,77.33014,28.63861,200.6799,,-25,70,200,,
13.42322,7,0.07766373,,0,0,110.5112,,77.5043,28.70721,200.7024,,-25,70,200,,
13.43435,7,0.0887985,,0,0,110.6178,,77.64147,28.76366,200.7673,,-25,70,200,,
13.44549,7,0.09993692,,0,0,110.6699,,77.72182,28.82776,200.9457,,-25,70,200,,
13.45654,7,0.1109888,,0,0,110.708,,77.82494,28.99017,201.2201,,-25,70,200,,
13.4677,7,0.1221462,,0,0,110.8529,,77.95535,28.9314,201.3899,,-25,70,200,,
13.47883,7,0.1332781,,0,0,110.9499,,78.0836,28.99879,201.6009,,-25,70,200,,
13.48991,7,0.1443568,,0,0,111.0646,,78.21658,29.03098,201.7973,,-25,70,200,,
